"","label","longitude","latitude"
"1","MODEO SYSTEMS",35.6389236,33.9877014
"2","MODEO SYSTEMS",35.5054779,33.8915863
"5","OVIS NATURAL CASING",35.5506554,33.8938408
"6","GTLOGIC",35.6009789,33.9148254
"8","ALI ZEIN",35.4954796,33.8886299
"10","OBSOFT",35.5622215,33.864975
"11","SLIGHTER",35.5017767,33.8937913
"12","LEBTIVITY",35.600975,33.9147987
"21","PIXEL FOR THOUGHT",35.5437202,33.8793869
"24","NYMGO",35.4954796,33.8886299
"25","DAYCARECHANNEL",35.5358849,33.8553391
"30","FREE SAL",35.5062065,33.8897858
"31","HCA CREATIVE AGENCY",35.5017767,33.8937913
"32","TOPSHOU",35.5062675,33.8903122
"38","ELEMENTN",35.5622215,33.864975
"41","KEEFAK THE APP",35.8622856,33.8547211
"43","IDEATOLIFE",35.5054779,33.8915863
"44","INVIGO",35.5622215,33.864975
"68","BIZAROOB SARL",35.557579,33.865654
"72","BSYNCHRO",35.5726166,33.9001274
"74","ELENE CONSULTING",35.4954796,33.8886299
"76","AGILIA",35.5017776,33.8937912
"77","NEXT AUTOMATED ROBOTS NAR",35.5622215,33.864975
"83","LEBANESE ASSOCIATION FOR SOCIAL AND ECONOMIC DEVELOPMENT",35.5017776,33.8937912
"84","MAD CUBE",35.4954796,33.8886299
"86","ONGOING CONCEPTS SARL",35.4954796,33.8886299
"88","WIXEL STUDIOS",35.6180573,33.9831085
"90","WHERELEB",35.5017776,33.8937912
"91","RAPIDMANUFACTORY",35.4954796,33.8886299
"92","KAMKALIMA",35.5622216,33.8649762
"94","LEAP VENTURES",35.5054779,33.8915863
"98","CLARAY DESIGN",35.6508789,33.9541512
"99","MOODFIT",35.4954796,33.8886299
"108","SOOWARNA",35.6077849,33.9165335
"109","PHOENIX CLINICAL RESEARCH",35.5140457,33.8802719
"110","YALLAPLAY",35.4893112,33.8707275
"113","JELLYFISH LABS",35.6009789,33.9148254
